Aviso,AnioMes,Equipo,DenominacionEquipo,Area,Linea,Criticidad,Causa,DuracionParada_h,CategoriaPerdida,LigadoAOrden
900500,2025-06,EQ-0470,Paletizador,Envasado,Línea 3,B,Desalineamiento,9.4,Paradas menores,1
900501,2025-06,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,2.9,Averías,1
900502,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desgaste,2.7,Pérdida de velocidad,1
900503,2025-06,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,2.3,Averías,1
900504,2025-06,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desalineamiento,7.7,Setup y ajustes,1
900505,2025-06,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Falla eléctrica,8.2,Setup y ajustes,1
900506,2025-06,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,2.1,Setup y ajustes,1
900507,2025-06,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Fatiga de material,7.1,Paradas menores,1
900508,2025-06,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Falla eléctrica,1.1,Pérdida de velocidad,0
900509,2025-06,EQ-0470,Paletizador,Envasado,Línea 3,B,Desgaste,7.4,Averías,0
900510,2025-06,EQ-0310,Reactor P1,Proceso,Línea 1,A,Fatiga de material,10.7,Setup y ajustes,1
900511,2025-06,EQ-0470,Paletizador,Envasado,Línea 3,B,Contaminación,2.4,Averías,1
900512,2025-06,EQ-0201,Caldera 1,Servicios,N/A,A,Contaminación,7.6,Averías,1
900513,2025-06,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,3.9,Paradas menores,1
900514,2025-06,EQ-0210,Compresor 3,Servicios,N/A,B,Falla eléctrica,1.5,Pérdida de velocidad,1
900515,2025-06,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falla eléctrica,5.6,Averías,1
900516,2025-06,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,5.3,Defectos y reproceso,1
900517,2025-06,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Obstrucción,2.9,Averías,1
900518,2025-06,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Contaminación,7.2,Averías,1
900519,2025-06,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Falta de lubricación,8.0,Averías,1
900520,2025-06,EQ-0471,Transportador L3,Envasado,Línea 3,C,Ajuste incorrecto,5.9,Setup y ajustes,1
900521,2025-06,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desalineamiento,8.3,Averías,1
900522,2025-06,EQ-0202,Caldera 2,Servicios,N/A,B,Desgaste,9.8,Setup y ajustes,1
900523,2025-06,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Falla eléctrica,9.9,Averías,1
900524,2025-06,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,7.1,Averías,1
900525,2025-06,EQ-0471,Transportador L3,Envasado,Línea 3,C,Desalineamiento,3.8,Paradas menores,1
900526,2025-06,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,6.4,Averías,1
900527,2025-06,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Ajuste incorrecto,6.4,Setup y ajustes,1
900528,2025-06,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Fatiga de material,4.6,Averías,1
900529,2025-06,EQ-0202,Caldera 2,Servicios,N/A,B,Falta de lubricación,5.3,Averías,0
900530,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Contaminación,5.1,Defectos y reproceso,1
900531,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desalineamiento,3.5,Averías,1
900532,2025-06,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Contaminación,2.9,Paradas menores,1
900533,2025-06,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desgaste,6.3,Averías,1
900534,2025-06,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,6.4,Averías,1
900535,2025-06,EQ-0470,Paletizador,Envasado,Línea 3,B,Obstrucción,1.9,Averías,1
900536,2025-06,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Desalineamiento,6.1,Defectos y reproceso,1
900537,2025-06,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,4.1,Setup y ajustes,1
900538,2025-06,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Ajuste incorrecto,6.5,Averías,1
900539,2025-06,EQ-0470,Paletizador,Envasado,Línea 3,B,Desgaste,4.9,Averías,1
900540,2025-06,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,11.9,Defectos y reproceso,1
900541,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desalineamiento,10.0,Pérdida de velocidad,1
900542,2025-06,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Falla eléctrica,7.0,Averías,1
900543,2025-06,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,10.8,Averías,1
900544,2025-06,EQ-0471,Transportador L3,Envasado,Línea 3,C,Desalineamiento,3.5,Setup y ajustes,1
900545,2025-06,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falta de lubricación,9.6,Setup y ajustes,1
900546,2025-06,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Falla eléctrica,8.1,Averías,0
900547,2025-06,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Obstrucción,6.6,Averías,1
900548,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Obstrucción,1.4,Paradas menores,1
900549,2025-06,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Obstrucción,4.2,Setup y ajustes,1
900550,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falta de lubricación,7.6,Averías,1
900551,2025-06,EQ-0210,Compresor 3,Servicios,N/A,B,Fatiga de material,9.2,Setup y ajustes,1
900552,2025-06,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Fatiga de material,11.0,Paradas menores,0
900553,2025-06,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Obstrucción,1.8,Paradas menores,1
900554,2025-06,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,2.5,Averías,1
900555,2025-06,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Contaminación,4.9,Averías,1
900556,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Contaminación,4.6,Averías,1
900557,2025-06,EQ-0202,Caldera 2,Servicios,N/A,B,Desalineamiento,4.8,Setup y ajustes,1
900558,2025-06,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,4.8,Paradas menores,1
900559,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Contaminación,13.4,Setup y ajustes,0
900560,2025-06,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Fatiga de material,9.0,Paradas menores,1
900561,2025-06,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,12.4,Averías,1
900562,2025-06,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,6.9,Averías,1
900563,2025-06,EQ-0211,Chiller 1,Servicios,N/A,A,Obstrucción,3.5,Averías,1
900564,2025-06,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desgaste,3.4,Pérdida de velocidad,1
900565,2025-06,EQ-0210,Compresor 3,Servicios,N/A,B,Fatiga de material,8.5,Arranque,1
900566,2025-06,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desgaste,5.5,Averías,0
900567,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desalineamiento,11.8,Averías,1
900568,2025-06,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,7.6,Averías,1
900569,2025-06,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Ajuste incorrecto,11.6,Averías,0
900570,2025-06,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,4.6,Averías,1
900571,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falla eléctrica,2.5,Paradas menores,1
900572,2025-06,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,5.3,Paradas menores,1
900573,2025-06,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desgaste,1.8,Pérdida de velocidad,1
900574,2025-06,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,13.6,Averías,1
900575,2025-06,EQ-0201,Caldera 1,Servicios,N/A,A,Obstrucción,13.2,Paradas menores,1
900576,2025-06,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Obstrucción,2.7,Paradas menores,1
900577,2025-06,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Obstrucción,8.2,Paradas menores,1
900578,2025-06,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,11.4,Paradas menores,1
900579,2025-06,EQ-0471,Transportador L3,Envasado,Línea 3,C,Ajuste incorrecto,0.9,Paradas menores,1
900580,2025-06,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Desgaste,3.7,Averías,1
900581,2025-06,EQ-0201,Caldera 1,Servicios,N/A,A,Fatiga de material,6.0,Paradas menores,1
900582,2025-06,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Obstrucción,6.5,Pérdida de velocidad,1
900583,2025-06,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,8.7,Averías,1
900584,2025-06,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,8.9,Averías,1
900585,2025-06,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,5.6,Averías,1
900586,2025-06,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,2.3,Averías,1
900587,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falta de lubricación,11.0,Paradas menores,1
900588,2025-06,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desgaste,5.7,Pérdida de velocidad,1
900589,2025-06,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,9.3,Averías,1
900590,2025-06,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Ajuste incorrecto,6.6,Paradas menores,1
900591,2025-06,EQ-0211,Chiller 1,Servicios,N/A,A,Falta de lubricación,4.3,Pérdida de velocidad,1
900592,2025-07,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,2.6,Pérdida de velocidad,1
900593,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,12.8,Defectos y reproceso,0
900594,2025-07,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Falla eléctrica,6.3,Averías,1
900595,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Ajuste incorrecto,9.7,Arranque,1
900596,2025-07,EQ-0202,Caldera 2,Servicios,N/A,B,Falla eléctrica,3.6,Averías,1
900597,2025-07,EQ-0470,Paletizador,Envasado,Línea 3,B,Desgaste,4.7,Pérdida de velocidad,0
900598,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,12.9,Averías,1
900599,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,11.4,Averías,1
900600,2025-07,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Desalineamiento,5.0,Pérdida de velocidad,1
900601,2025-07,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,9.8,Defectos y reproceso,1
900602,2025-07,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Fatiga de material,5.1,Paradas menores,1
900603,2025-07,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Ajuste incorrecto,1.9,Paradas menores,1
900604,2025-07,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,9.4,Averías,1
900605,2025-07,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falla eléctrica,6.3,Setup y ajustes,1
900606,2025-07,EQ-0211,Chiller 1,Servicios,N/A,A,Desalineamiento,5.7,Arranque,1
900607,2025-07,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desalineamiento,8.2,Defectos y reproceso,1
900608,2025-07,EQ-0202,Caldera 2,Servicios,N/A,B,Desalineamiento,7.7,Averías,0
900609,2025-07,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,8.4,Paradas menores,1
900610,2025-07,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Falta de lubricación,4.2,Averías,1
900611,2025-07,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,2.4,Averías,1
900612,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,3.1,Paradas menores,1
900613,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,4.9,Setup y ajustes,1
900614,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,13.2,Averías,1
900615,2025-07,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,5.3,Averías,1
900616,2025-07,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Ajuste incorrecto,10.2,Pérdida de velocidad,1
900617,2025-07,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,2.6,Averías,1
900618,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Obstrucción,12.6,Averías,0
900619,2025-07,EQ-0310,Reactor P1,Proceso,Línea 1,A,Obstrucción,5.4,Setup y ajustes,0
900620,2025-07,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Falta de lubricación,2.2,Averías,1
900621,2025-07,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,12.5,Paradas menores,0
900622,2025-07,EQ-0211,Chiller 1,Servicios,N/A,A,Falta de lubricación,10.2,Setup y ajustes,1
900623,2025-07,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falta de lubricación,12.7,Averías,0
900624,2025-07,EQ-0201,Caldera 1,Servicios,N/A,A,Contaminación,12.3,Setup y ajustes,0
900625,2025-07,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Ajuste incorrecto,4.9,Arranque,1
900626,2025-07,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Contaminación,1.2,Pérdida de velocidad,1
900627,2025-07,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Falta de lubricación,9.1,Averías,1
900628,2025-07,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Desgaste,3.3,Arranque,1
900629,2025-07,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desgaste,6.6,Paradas menores,1
900630,2025-07,EQ-0201,Caldera 1,Servicios,N/A,A,Ajuste incorrecto,6.6,Defectos y reproceso,1
900631,2025-07,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,2.0,Setup y ajustes,1
900632,2025-07,EQ-0470,Paletizador,Envasado,Línea 3,B,Obstrucción,5.9,Averías,1
900633,2025-07,EQ-0470,Paletizador,Envasado,Línea 3,B,Fatiga de material,2.0,Setup y ajustes,1
900634,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,10.4,Paradas menores,1
900635,2025-07,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desgaste,6.9,Pérdida de velocidad,1
900636,2025-07,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falta de lubricación,8.9,Pérdida de velocidad,0
900637,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Fatiga de material,10.9,Setup y ajustes,1
900638,2025-07,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desgaste,7.3,Setup y ajustes,1
900639,2025-07,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Falla eléctrica,3.0,Setup y ajustes,1
900640,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,5.2,Averías,1
900641,2025-07,EQ-0211,Chiller 1,Servicios,N/A,A,Ajuste incorrecto,12.9,Averías,1
900642,2025-07,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,5.8,Pérdida de velocidad,1
900643,2025-07,EQ-0210,Compresor 3,Servicios,N/A,B,Falla eléctrica,6.3,Averías,1
900644,2025-07,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Ajuste incorrecto,8.2,Averías,1
900645,2025-07,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,3.0,Defectos y reproceso,1
900646,2025-07,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falta de lubricación,9.3,Averías,1
900647,2025-07,EQ-0211,Chiller 1,Servicios,N/A,A,Fatiga de material,9.3,Setup y ajustes,1
900648,2025-07,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Ajuste incorrecto,2.8,Paradas menores,1
900649,2025-07,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Obstrucción,7.5,Defectos y reproceso,1
900650,2025-07,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Desalineamiento,5.2,Pérdida de velocidad,1
900651,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,3.9,Setup y ajustes,1
900652,2025-07,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Fatiga de material,6.8,Averías,1
900653,2025-07,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desgaste,1.1,Averías,1
900654,2025-07,EQ-0210,Compresor 3,Servicios,N/A,B,Contaminación,9.2,Pérdida de velocidad,1
900655,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,5.3,Setup y ajustes,1
900656,2025-07,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,2.2,Averías,1
900657,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,2.7,Defectos y reproceso,1
900658,2025-07,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Fatiga de material,6.9,Pérdida de velocidad,1
900659,2025-07,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,2.9,Paradas menores,1
900660,2025-07,EQ-0471,Transportador L3,Envasado,Línea 3,C,Desgaste,4.9,Defectos y reproceso,1
900661,2025-07,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Fatiga de material,6.9,Averías,1
900662,2025-07,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falta de lubricación,12.5,Paradas menores,1
900663,2025-07,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Fatiga de material,3.5,Averías,1
900664,2025-07,EQ-0201,Caldera 1,Servicios,N/A,A,Desgaste,2.3,Defectos y reproceso,1
900665,2025-07,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,7.3,Defectos y reproceso,0
900666,2025-07,EQ-0202,Caldera 2,Servicios,N/A,B,Desgaste,1.2,Defectos y reproceso,0
900667,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Fatiga de material,3.7,Averías,1
900668,2025-07,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Falla eléctrica,6.0,Arranque,1
900669,2025-07,EQ-0210,Compresor 3,Servicios,N/A,B,Falla eléctrica,2.7,Averías,1
900670,2025-07,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desalineamiento,2.0,Averías,1
900671,2025-07,EQ-0202,Caldera 2,Servicios,N/A,B,Obstrucción,1.0,Arranque,1
900672,2025-07,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,1.7,Defectos y reproceso,1
900673,2025-07,EQ-0201,Caldera 1,Servicios,N/A,A,Contaminación,2.9,Setup y ajustes,1
900674,2025-07,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Obstrucción,3.3,Paradas menores,1
900675,2025-07,EQ-0471,Transportador L3,Envasado,Línea 3,C,Ajuste incorrecto,1.3,Paradas menores,1
900676,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,3.5,Averías,1
900677,2025-07,EQ-0211,Chiller 1,Servicios,N/A,A,Desgaste,4.0,Pérdida de velocidad,1
900678,2025-07,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,8.9,Setup y ajustes,1
900679,2025-07,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,6.5,Averías,0
900680,2025-07,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desalineamiento,1.0,Averías,1
900681,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,12.1,Averías,1
900682,2025-07,EQ-0202,Caldera 2,Servicios,N/A,B,Obstrucción,9.3,Defectos y reproceso,1
900683,2025-07,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Ajuste incorrecto,9.6,Averías,1
900684,2025-07,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Falta de lubricación,1.0,Setup y ajustes,1
900685,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,2.9,Averías,1
900686,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,7.0,Pérdida de velocidad,1
900687,2025-07,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,1.8,Averías,1
900688,2025-07,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Contaminación,9.2,Averías,1
900689,2025-07,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falla eléctrica,3.2,Setup y ajustes,1
900690,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,5.9,Paradas menores,1
900691,2025-07,EQ-0202,Caldera 2,Servicios,N/A,B,Desalineamiento,9.5,Averías,1
900692,2025-07,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desgaste,8.7,Averías,1
900693,2025-07,EQ-0202,Caldera 2,Servicios,N/A,B,Contaminación,5.4,Defectos y reproceso,1
900694,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Obstrucción,8.1,Defectos y reproceso,1
900695,2025-07,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,7.1,Pérdida de velocidad,0
900696,2025-07,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,1.8,Defectos y reproceso,1
900697,2025-07,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,2.1,Averías,1
900698,2025-07,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Obstrucción,1.3,Pérdida de velocidad,1
900699,2025-07,EQ-0471,Transportador L3,Envasado,Línea 3,C,Obstrucción,3.9,Averías,1
900700,2025-07,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falta de lubricación,3.9,Averías,1
900701,2025-08,EQ-0471,Transportador L3,Envasado,Línea 3,C,Fatiga de material,3.0,Averías,1
900702,2025-08,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,2.0,Paradas menores,1
900703,2025-08,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,1.6,Defectos y reproceso,1
900704,2025-08,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desalineamiento,3.9,Defectos y reproceso,1
900705,2025-08,EQ-0470,Paletizador,Envasado,Línea 3,B,Falla eléctrica,7.4,Averías,1
900706,2025-08,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Contaminación,11.3,Setup y ajustes,1
900707,2025-08,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desgaste,4.0,Paradas menores,1
900708,2025-08,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Desgaste,4.6,Paradas menores,1
900709,2025-08,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Obstrucción,9.3,Setup y ajustes,1
900710,2025-08,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desgaste,2.5,Arranque,1
900711,2025-08,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,5.9,Averías,1
900712,2025-08,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desgaste,2.1,Averías,1
900713,2025-08,EQ-0201,Caldera 1,Servicios,N/A,A,Falta de lubricación,8.4,Paradas menores,1
900714,2025-08,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falta de lubricación,12.6,Defectos y reproceso,1
900715,2025-08,EQ-0471,Transportador L3,Envasado,Línea 3,C,Falta de lubricación,2.2,Averías,1
900716,2025-08,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desalineamiento,2.4,Averías,1
900717,2025-08,EQ-0470,Paletizador,Envasado,Línea 3,B,Contaminación,8.8,Defectos y reproceso,1
900718,2025-08,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,9.7,Averías,0
900719,2025-08,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Fatiga de material,6.7,Setup y ajustes,0
900720,2025-08,EQ-0201,Caldera 1,Servicios,N/A,A,Desgaste,7.6,Averías,1
900721,2025-08,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,12.8,Averías,1
900722,2025-08,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Obstrucción,11.6,Averías,1
900723,2025-08,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,1.2,Averías,1
900724,2025-08,EQ-0201,Caldera 1,Servicios,N/A,A,Desgaste,1.9,Averías,1
900725,2025-08,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,2.1,Paradas menores,1
900726,2025-08,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desalineamiento,2.1,Averías,1
900727,2025-08,EQ-0210,Compresor 3,Servicios,N/A,B,Ajuste incorrecto,8.3,Setup y ajustes,1
900728,2025-08,EQ-0211,Chiller 1,Servicios,N/A,A,Desalineamiento,2.5,Setup y ajustes,1
900729,2025-08,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Falta de lubricación,2.1,Setup y ajustes,1
900730,2025-08,EQ-0201,Caldera 1,Servicios,N/A,A,Desgaste,8.6,Arranque,1
900731,2025-08,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,2.6,Pérdida de velocidad,1
900732,2025-08,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Fatiga de material,4.9,Defectos y reproceso,1
900733,2025-08,EQ-0202,Caldera 2,Servicios,N/A,B,Desgaste,1.2,Setup y ajustes,1
900734,2025-08,EQ-0471,Transportador L3,Envasado,Línea 3,C,Falta de lubricación,6.0,Averías,0
900735,2025-08,EQ-0470,Paletizador,Envasado,Línea 3,B,Fatiga de material,1.9,Paradas menores,1
900736,2025-08,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desgaste,7.2,Averías,1
900737,2025-08,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,8.3,Averías,1
900738,2025-08,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,7.3,Averías,1
900739,2025-08,EQ-0470,Paletizador,Envasado,Línea 3,B,Fatiga de material,8.8,Defectos y reproceso,1
900740,2025-08,EQ-0470,Paletizador,Envasado,Línea 3,B,Obstrucción,9.6,Arranque,1
900741,2025-08,EQ-0471,Transportador L3,Envasado,Línea 3,C,Desgaste,0.7,Averías,1
900742,2025-08,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,6.3,Averías,1
900743,2025-08,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,9.7,Setup y ajustes,1
900744,2025-08,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Obstrucción,10.6,Paradas menores,1
900745,2025-08,EQ-0471,Transportador L3,Envasado,Línea 3,C,Ajuste incorrecto,3.7,Pérdida de velocidad,1
900746,2025-08,EQ-0211,Chiller 1,Servicios,N/A,A,Fatiga de material,11.2,Paradas menores,1
900747,2025-08,EQ-0310,Reactor P1,Proceso,Línea 1,A,Contaminación,5.7,Averías,1
