Orden,AnioMes,Area,Linea,Equipo,DenominacionEquipo,Criticidad,TipoMantenimiento,ClaseOrden,EstadoCierre,Trabajo,TrabajoReal,CostoPlan,CostoReal,DiasCierre,RetrasoDias,FlagsCalidad,GrupoPlanificador,Prioridad,MotivoDetencion
400659,2025-06,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM02,Abierta,2.2,0.0,86.3,15.8,,15,2,Instrumentación,Baja,
400660,2025-06,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Correctivo,PM01,Abierta,15.8,3.9,1381.6,410.5,,11,1,Mecánico,Media,
400661,2025-06,Servicios,N/A,EQ-0210,Compresor 3,B,Preventivo,PM02,Abierta,22.6,3.0,530.9,44.1,,0,0,Eléctrico,Alta,
400662,2025-06,Servicios,N/A,EQ-0210,Compresor 3,B,Predictivo,PM06,Cerrada,14.9,14.7,519.2,536.8,3,1,0,Mecánico,Media,
400663,2025-06,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Predictivo,PM06,Cerrada,11.1,10.9,342.5,316.0,15,0,0,Mecánico,Media,
400664,2025-06,Proceso,Línea 1,EQ-0311,Intercambiador P1,B,Preventivo,PM02,Cerrada,19.7,21.9,831.4,867.2,13,0,0,Servicios,Alta,
400665,2025-06,Servicios,N/A,EQ-0210,Compresor 3,B,Mejora,PM04,Cerrada,8.7,8.1,314.5,281.1,14,0,0,Eléctrico,Media,
400666,2025-06,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Cerrada,11.1,10.9,560.2,525.4,3,0,0,Eléctrico,Baja,
400667,2025-06,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Cerrada,14.9,15.9,458.3,455.6,12,0,0,Mecánico,Alta,
400668,2025-06,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Preventivo,PM03,Cerrada,16.3,16.5,467.9,490.2,9,10,16,Eléctrico,Alta,
400669,2025-06,Servicios,N/A,EQ-0201,Caldera 1,A,Correctivo,PM01,Cerrada,19.3,22.9,1446.4,1115.9,7,0,2,Mecánico,Alta,
400670,2025-06,Proceso,Línea 1,EQ-0310,Reactor P1,A,Preventivo,PM02,Cerrada,23.0,24.2,705.0,711.0,2,0,2,Eléctrico,Media,
400671,2025-06,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM03,Cerrada,8.4,8.3,314.5,330.3,14,7,20,Eléctrico,Alta,
400672,2025-06,Proceso,Línea 1,EQ-0310,Reactor P1,A,Preventivo,PM03,Cerrada,3.7,3.4,117.8,113.1,5,11,0,Mecánico,Media,
400673,2025-06,Proceso,Línea 1,EQ-0310,Reactor P1,A,Preventivo,PM02,Cerrada,13.8,13.2,423.6,398.5,6,0,0,Mecánico,Baja,
400674,2025-06,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Correctivo,PM01,Cerrada,24.8,48.5,2151.1,2588.1,12,7,0,Servicios,Alta,
400675,2025-06,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,4.7,10.3,290.0,412.8,10,0,0,Mecánico,Baja,
400676,2025-06,Envasado,Línea 3,EQ-0470,Paletizador,B,Correctivo,PM01,Cerrada,17.0,34.6,637.3,905.0,1,0,0,Mecánico,Media,
400677,2025-06,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Emergencia,PM05,Cerrada,22.6,29.8,1317.0,1101.2,6,0,1,Eléctrico,Alta,
400678,2025-06,Servicios,N/A,EQ-0210,Compresor 3,B,Correctivo,PM01,Cerrada,18.6,40.4,1084.4,1600.2,4,0,2,Mecánico,Media,
400679,2025-06,Servicios,N/A,EQ-0210,Compresor 3,B,Correctivo,PM01,Cerrada,4.1,9.0,302.6,426.8,2,0,4,Mecánico,Alta,
400680,2025-06,Proceso,Línea 1,EQ-0310,Reactor P1,A,Emergencia,PM05,Cerrada,25.1,38.4,1357.4,1313.7,5,0,0,Mecánico,Baja,
400681,2025-06,Servicios,N/A,EQ-0210,Compresor 3,B,Mejora,PM04,Cerrada,19.9,18.7,720.9,673.7,9,0,0,Eléctrico,Media,
400682,2025-06,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Mejora,PM04,Cerrada,9.1,10.1,399.6,417.0,14,0,4,Eléctrico,Media,
400683,2025-06,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,26.1,37.8,1793.0,1628.1,13,0,4,Eléctrico,Alta,
400684,2025-06,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM02,Cerrada,14.4,16.1,620.8,706.0,12,11,2,Mecánico,Media,
400685,2025-06,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Cerrada,9.6,10.6,472.5,519.8,3,0,2,Mecánico,Baja,
400686,2025-06,Servicios,N/A,EQ-0202,Caldera 2,B,Preventivo,PM02,Cerrada,20.4,22.7,859.6,891.6,10,0,0,Eléctrico,Baja,
400687,2025-06,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Preventivo,PM03,Cerrada,12.9,12.3,611.3,541.6,6,0,0,Mecánico,Baja,
400688,2025-06,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Preventivo,PM02,Cerrada,22.3,22.9,1131.3,1217.9,10,0,0,Mecánico,Media,
400689,2025-06,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Correctivo,PM01,Cerrada,12.4,15.3,621.6,545.9,6,0,0,Eléctrico,Media,
400690,2025-06,Envasado,Línea 3,EQ-0470,Paletizador,B,Preventivo,PM02,Abierta,20.5,0.8,944.9,42.2,,12,0,Eléctrico,Media,
400691,2025-06,Servicios,N/A,EQ-0210,Compresor 3,B,Emergencia,PM05,Cerrada,22.7,29.5,791.1,669.8,8,0,0,Instrumentación,Media,
400692,2025-06,Servicios,N/A,EQ-0210,Compresor 3,B,Preventivo,PM02,Abierta,15.0,1.1,577.0,143.6,,3,16,Servicios,Media,
400693,2025-06,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Preventivo,PM02,Cerrada,7.6,7.2,217.4,205.5,11,0,0,Mecánico,Alta,
400694,2025-06,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Preventivo,PM03,Abierta,20.3,7.4,1207.3,104.9,,0,2,Instrumentación,Alta,
400695,2025-06,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Correctivo,PM01,Cerrada,14.3,29.2,503.8,688.8,7,0,0,Mecánico,Alta,
400696,2025-06,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Correctivo,PM01,Cerrada,22.0,29.6,1297.3,1102.2,12,0,0,Servicios,Baja,
400697,2025-06,Envasado,Línea 3,EQ-0471,Transportador L3,C,Preventivo,PM02,Cerrada,6.6,6.7,184.8,177.0,2,10,0,Instrumentación,Alta,
400698,2025-06,Proceso,Línea 1,EQ-0310,Reactor P1,A,Preventivo,PM02,Cerrada,10.4,11.1,596.4,601.0,1,0,0,Servicios,Alta,
400699,2025-06,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Abierta,3.2,1.0,73.9,1.3,,7,16,Mecánico,Media,
400700,2025-06,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Cerrada,8.7,8.2,400.3,404.9,2,0,4,Mecánico,Alta,
400701,2025-06,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Correctivo,PM01,Cerrada,30.2,65.9,1358.3,2007.1,2,0,0,Servicios,Media,
400702,2025-06,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,14.8,15.4,368.8,416.2,5,4,16,Servicios,Media,
400703,2025-06,Servicios,N/A,EQ-0202,Caldera 2,B,Mejora,PM04,Cerrada,25.7,26.8,1025.0,1130.7,4,0,0,Mecánico,Alta,
400704,2025-06,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Preventivo,PM02,Cerrada,11.0,10.2,653.1,573.5,13,0,0,Mecánico,Alta,
400705,2025-06,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Correctivo,PM01,Cerrada,14.7,18.1,1326.2,1019.1,3,0,0,Instrumentación,Media,
400706,2025-06,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Correctivo,PM01,Cerrada,27.8,49.0,1256.5,1541.4,11,0,0,Eléctrico,Media,
400707,2025-06,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Correctivo,PM01,Cerrada,11.1,21.5,487.1,615.5,8,0,0,Mecánico,Alta,
400708,2025-06,Servicios,N/A,EQ-0201,Caldera 1,A,Preventivo,PM02,Cerrada,16.7,15.9,799.2,708.4,14,0,0,Servicios,Media,
400709,2025-06,Servicios,N/A,EQ-0210,Compresor 3,B,Predictivo,PM06,Cerrada,12.9,14.0,618.3,669.0,6,11,0,Eléctrico,Alta,
400710,2025-06,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM03,Cerrada,14.6,15.8,603.6,683.0,2,0,0,Mecánico,Media,
400711,2025-06,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Emergencia,PM05,Abierta,7.1,3.2,257.0,56.3,,15,2,Mecánico,Alta,
400712,2025-06,Servicios,N/A,EQ-0211,Chiller 1,A,Preventivo,PM02,Cerrada,20.0,20.9,1270.7,1439.9,6,0,0,Servicios,Alta,
400713,2025-06,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Preventivo,PM03,Cerrada,22.0,22.2,1026.6,1105.9,4,0,0,Eléctrico,Alta,
400714,2025-06,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Preventivo,PM02,Cerrada,20.9,22.4,771.1,894.3,6,0,2,Mecánico,Media,
400715,2025-06,Servicios,N/A,EQ-0211,Chiller 1,A,Correctivo,PM01,Cerrada,25.7,31.6,1826.2,1520.3,15,0,2,Instrumentación,Alta,
400716,2025-06,Servicios,N/A,EQ-0202,Caldera 2,B,Mejora,PM04,Cerrada,9.4,10.0,284.4,312.2,6,0,0,Mecánico,Media,
400717,2025-06,Servicios,N/A,EQ-0201,Caldera 1,A,Mejora,PM04,Abierta,24.5,7.2,1069.3,295.6,,8,8,Instrumentación,Baja,
400718,2025-06,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Cerrada,17.5,18.9,724.3,789.1,12,0,4,Eléctrico,Alta,
400719,2025-06,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Correctivo,PM01,Cerrada,3.7,6.5,187.2,216.7,2,10,0,Mecánico,Alta,
400720,2025-06,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Mejora,PM04,Cerrada,3.4,3.2,95.1,96.0,3,0,0,Mecánico,Media,
400721,2025-06,Servicios,N/A,EQ-0201,Caldera 1,A,Preventivo,PM02,Cerrada,24.0,25.4,825.1,943.7,2,1,16,Servicios,Alta,
400722,2025-06,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,23.8,24.7,767.4,840.0,4,0,0,Instrumentación,Media,
400723,2025-06,Servicios,N/A,EQ-0211,Chiller 1,A,Preventivo,PM02,Cerrada,15.8,16.4,626.7,655.2,9,0,2,Eléctrico,Baja,
400724,2025-06,Proceso,Línea 1,EQ-0311,Intercambiador P1,B,Preventivo,PM03,Cerrada,2.2,2.3,61.5,65.1,9,1,0,Eléctrico,Media,
400725,2025-06,Proceso,Línea 1,EQ-0310,Reactor P1,A,Preventivo,PM02,Cerrada,14.0,13.1,866.3,842.8,13,0,2,Instrumentación,Media,
400726,2025-06,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Emergencia,PM05,Cerrada,28.0,34.4,1822.2,1376.5,14,0,0,Mecánico,Baja,
400727,2025-06,Envasado,Línea 3,EQ-0470,Paletizador,B,Preventivo,PM02,Cerrada,22.7,23.0,1116.0,1147.1,8,0,0,Eléctrico,Media,
400728,2025-06,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Correctivo,PM01,Cerrada,18.3,33.6,1011.0,1289.4,4,0,4,Mecánico,Media,
400729,2025-06,Servicios,N/A,EQ-0202,Caldera 2,B,Preventivo,PM02,Cerrada,16.6,15.9,702.9,636.0,2,0,0,Instrumentación,Baja,
400730,2025-06,Servicios,N/A,EQ-0202,Caldera 2,B,Preventivo,PM02,Abierta,12.0,5.1,508.0,194.5,,0,0,Mecánico,Baja,
400731,2025-06,Servicios,N/A,EQ-0210,Compresor 3,B,Preventivo,PM02,Cerrada,7.4,7.9,171.4,175.3,7,0,2,Servicios,Media,
400732,2025-06,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Correctivo,PM01,Cerrada,13.1,23.4,826.1,921.4,9,0,0,Mecánico,Media,
400733,2025-06,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Cerrada,6.5,6.2,160.7,142.6,3,0,0,Eléctrico,Alta,
400734,2025-06,Envasado,Línea 3,EQ-0471,Transportador L3,C,Preventivo,PM02,Cerrada,11.0,10.9,382.6,377.9,6,0,4,Servicios,Baja,
400735,2025-06,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Preventivo,PM02,Cerrada,21.2,21.7,642.6,694.7,4,0,0,Mecánico,Baja,
400736,2025-06,Proceso,Línea 1,EQ-0310,Reactor P1,A,Preventivo,PM02,Cerrada,3.3,3.4,97.9,97.6,9,0,0,Servicios,Baja,
400737,2025-06,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM03,Cerrada,13.9,13.8,692.1,649.1,7,0,2,Mecánico,Baja,
400738,2025-06,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Cerrada,10.4,10.0,272.2,265.3,3,0,1,Mecánico,Baja,
400739,2025-06,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Correctivo,PM01,Cerrada,5.3,9.0,284.2,318.6,3,0,4,Mecánico,Baja,
400740,2025-06,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Emergencia,PM05,Cerrada,7.5,9.3,306.1,243.6,6,0,2,Mecánico,Media,
400741,2025-06,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Cerrada,13.7,13.1,506.5,449.7,3,0,3,Mecánico,Alta,
400742,2025-07,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM02,Cerrada,6.6,7.0,129.4,128.7,2,0,0,Mecánico,Media,
400743,2025-07,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM02,Cerrada,5.6,6.1,158.3,165.1,10,0,4,Eléctrico,Baja,
400744,2025-07,Envasado,Línea 3,EQ-0471,Transportador L3,C,Preventivo,PM02,Cerrada,14.1,13.4,419.3,391.8,14,0,2,Mecánico,Baja,
400745,2025-07,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM02,Cerrada,10.9,11.5,340.3,336.3,8,0,0,Mecánico,Baja,
400746,2025-07,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Abierta,8.0,0.9,197.3,69.1,,0,0,Mecánico,Media,
400747,2025-07,Servicios,N/A,EQ-0201,Caldera 1,A,Correctivo,PM01,Cerrada,28.2,38.6,2442.0,2082.4,5,0,0,Eléctrico,Baja,
400748,2025-07,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Preventivo,PM02,Cerrada,3.9,3.6,103.6,100.2,2,0,0,Mecánico,Baja,
400749,2025-07,Servicios,N/A,EQ-0201,Caldera 1,A,Correctivo,PM01,Cerrada,13.5,21.5,1072.8,1191.6,7,0,0,Instrumentación,Media,
400750,2025-07,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM03,Cerrada,20.1,19.2,940.1,932.2,8,1,16,Eléctrico,Alta,
400751,2025-07,Servicios,N/A,EQ-0210,Compresor 3,B,Preventivo,PM03,Cerrada,9.4,8.8,267.8,246.4,5,10,0,Mecánico,Media,
400752,2025-07,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Preventivo,PM03,Cerrada,3.4,3.5,93.7,97.1,10,0,6,Mecánico,Baja,
400753,2025-07,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM02,Cerrada,22.0,22.1,702.7,756.5,6,0,0,Mecánico,Baja,
400754,2025-07,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Cerrada,23.5,23.2,1161.7,1111.8,5,0,4,Eléctrico,Media,
400755,2025-07,Servicios,N/A,EQ-0210,Compresor 3,B,Preventivo,PM03,Cerrada,19.4,21.6,695.5,722.5,4,0,1,Servicios,Alta,
400756,2025-07,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Preventivo,PM02,Cerrada,20.8,21.8,759.9,756.5,3,6,0,Mecánico,Media,
400757,2025-07,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM03,Cerrada,11.8,12.1,353.5,341.2,8,0,4,Eléctrico,Alta,
400758,2025-07,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,26.0,27.0,1155.8,1226.2,11,0,0,Eléctrico,Baja,
400759,2025-07,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM02,Abierta,8.3,0.2,172.9,13.9,,8,0,Mecánico,Alta,
400760,2025-07,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Emergencia,PM05,Cerrada,12.1,17.5,564.4,506.9,12,0,1,Instrumentación,Alta,
400761,2025-07,Envasado,Línea 3,EQ-0471,Transportador L3,C,Preventivo,PM02,Cerrada,15.2,14.6,336.6,333.3,12,0,2,Servicios,Media,
400762,2025-07,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Correctivo,PM01,Cerrada,11.3,17.8,780.6,881.7,6,0,0,Eléctrico,Alta,
400763,2025-07,Proceso,Línea 1,EQ-0310,Reactor P1,A,Preventivo,PM03,Cerrada,22.2,23.4,1232.2,1317.3,8,0,5,Mecánico,Media,
400764,2025-07,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,22.0,22.5,1005.9,1010.7,7,0,0,Eléctrico,Media,
400765,2025-07,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Preventivo,PM03,Cerrada,21.9,20.5,1247.4,1245.1,11,0,0,Instrumentación,Baja,
400766,2025-07,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,18.0,23.3,1005.7,848.3,4,6,0,Instrumentación,Alta,
400767,2025-07,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Preventivo,PM02,Cerrada,17.1,18.5,1002.8,1026.9,9,0,0,Mecánico,Alta,
400768,2025-07,Servicios,N/A,EQ-0211,Chiller 1,A,Preventivo,PM02,Cerrada,10.9,10.3,591.0,567.2,2,0,0,Mecánico,Baja,
400769,2025-07,Servicios,N/A,EQ-0202,Caldera 2,B,Preventivo,PM02,Abierta,20.0,7.7,988.1,449.4,,0,0,Eléctrico,Media,
400770,2025-07,Envasado,Línea 3,EQ-0470,Paletizador,B,Emergencia,PM05,Cerrada,8.9,10.8,533.3,459.2,8,0,4,Instrumentación,Media,
400771,2025-07,Proceso,Línea 1,EQ-0311,Intercambiador P1,B,Preventivo,PM02,Cerrada,15.7,16.9,622.6,654.2,1,0,0,Eléctrico,Baja,
400772,2025-07,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,12.3,12.3,323.8,346.1,5,0,2,Instrumentación,Baja,
400773,2025-07,Servicios,N/A,EQ-0202,Caldera 2,B,Correctivo,PM01,Cerrada,9.2,11.4,514.7,395.2,2,11,1,Mecánico,Media,
400774,2025-07,Servicios,N/A,EQ-0211,Chiller 1,A,Preventivo,PM02,Cerrada,11.3,12.0,539.6,544.7,6,0,6,Eléctrico,Alta,
400775,2025-07,Servicios,N/A,EQ-0211,Chiller 1,A,Preventivo,PM02,Cerrada,25.4,28.3,1204.9,1355.8,8,0,4,Eléctrico,Media,
400776,2025-07,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Cerrada,14.9,14.3,865.1,771.4,15,7,0,Instrumentación,Baja,
400777,2025-07,Servicios,N/A,EQ-0202,Caldera 2,B,Mejora,PM04,Cerrada,21.4,22.6,784.4,792.1,6,0,0,Instrumentación,Media,
400778,2025-07,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM02,Cerrada,5.9,6.1,187.9,209.0,10,0,0,Instrumentación,Media,
400779,2025-07,Proceso,Línea 1,EQ-0310,Reactor P1,A,Preventivo,PM02,Cerrada,11.7,11.4,597.3,594.6,1,2,4,Instrumentación,Media,
400780,2025-07,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Abierta,19.5,4.8,720.8,68.0,,0,0,Servicios,Baja,
400781,2025-07,Envasado,Línea 3,EQ-0470,Paletizador,B,Preventivo,PM02,Cerrada,22.3,23.7,962.3,1058.0,7,0,0,Eléctrico,Media,
400782,2025-07,Servicios,N/A,EQ-0202,Caldera 2,B,Emergencia,PM05,Cerrada,28.1,54.1,1759.1,2268.2,1,0,2,Mecánico,Alta,
400783,2025-07,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,21.4,20.2,737.7,716.8,13,0,0,Mecánico,Alta,
400784,2025-07,Envasado,Línea 3,EQ-0471,Transportador L3,C,Preventivo,PM02,Cerrada,3.9,4.1,116.6,128.5,7,2,16,Eléctrico,Baja,
400785,2025-07,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM02,Cerrada,19.1,20.9,1159.3,1319.3,7,0,4,Mecánico,Alta,
400786,2025-07,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Cerrada,10.2,10.2,303.5,325.7,8,0,4,Instrumentación,Alta,
400787,2025-07,Servicios,N/A,EQ-0210,Compresor 3,B,Mejora,PM04,Cerrada,11.7,11.7,345.3,334.4,6,0,0,Mecánico,Media,
400788,2025-07,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Correctivo,PM01,Cerrada,30.2,42.3,1626.5,1481.6,11,0,0,Mecánico,Baja,
400789,2025-07,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Cerrada,4.6,5.1,185.2,191.5,12,0,0,Eléctrico,Media,
400790,2025-07,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Correctivo,PM01,Cerrada,22.2,31.8,858.6,776.6,5,0,0,Instrumentación,Media,
400791,2025-07,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Correctivo,PM01,Cerrada,19.1,35.9,1730.8,2087.7,14,0,0,Mecánico,Baja,
400792,2025-07,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,7.2,13.0,667.0,788.7,5,0,0,Eléctrico,Alta,
400793,2025-07,Envasado,Línea 3,EQ-0470,Paletizador,B,Mejora,PM04,Cerrada,3.8,4.2,111.0,113.2,8,5,1,Mecánico,Media,
400794,2025-07,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Preventivo,PM02,Cerrada,24.7,22.9,546.6,481.8,12,0,4,Eléctrico,Media,
400795,2025-07,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Correctivo,PM01,Abierta,14.9,5.4,1048.0,212.5,,0,2,Mecánico,Media,
400796,2025-07,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Correctivo,PM01,Cerrada,15.9,20.8,1112.0,1045.9,1,0,4,Mecánico,Alta,
400797,2025-07,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Cerrada,5.8,5.6,272.3,279.6,8,0,2,Eléctrico,Media,
400798,2025-07,Servicios,N/A,EQ-0201,Caldera 1,A,Correctivo,PM01,Cerrada,4.5,5.9,254.7,231.0,5,0,0,Mecánico,Baja,
400799,2025-07,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM02,Cerrada,15.1,15.7,488.4,524.7,10,10,20,Mecánico,Alta,
400800,2025-07,Envasado,Línea 3,EQ-0471,Transportador L3,C,Preventivo,PM02,Cerrada,20.4,20.4,509.7,489.0,13,0,0,Mecánico,Media,
400801,2025-07,Bodega,N/A,EQ-0601,Grúa horquilla 4,C,Mejora,PM04,Cerrada,11.5,11.2,331.4,302.6,11,0,2,Mecánico,Baja,
400802,2025-07,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Emergencia,PM05,Cerrada,3.7,8.0,277.2,394.8,3,0,0,Eléctrico,Baja,
400803,2025-07,Servicios,N/A,EQ-0201,Caldera 1,A,Preventivo,PM03,Cerrada,8.0,8.8,303.8,307.8,13,0,0,Eléctrico,Media,
400804,2025-07,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Preventivo,PM02,Abierta,12.7,2.4,548.2,27.3,,0,0,Mecánico,Media,
400805,2025-07,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Mejora,PM04,Cerrada,2.7,2.5,132.2,133.3,5,0,0,Eléctrico,Media,
400806,2025-07,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Preventivo,PM02,Cerrada,19.4,18.7,929.0,904.5,15,0,0,Instrumentación,Media,
400807,2025-07,Servicios,N/A,EQ-0201,Caldera 1,A,Preventivo,PM03,Abierta,13.3,4.9,725.6,87.9,,0,0,Mecánico,Media,
400808,2025-07,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM02,Cerrada,6.4,7.0,224.5,263.4,1,11,4,Mecánico,Media,
400809,2025-07,Proceso,Línea 1,EQ-0310,Reactor P1,A,Correctivo,PM01,Cerrada,27.7,44.4,2010.8,2252.9,1,0,0,Eléctrico,Media,
400810,2025-07,Envasado,Línea 1,EQ-0455,Envasadora L1,A,Correctivo,PM01,Cerrada,30.4,47.7,1895.9,2085.9,13,4,2,Mecánico,Baja,
400811,2025-07,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Preventivo,PM02,Cerrada,20.8,19.6,1047.7,1051.7,7,0,0,Mecánico,Alta,
400812,2025-07,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Correctivo,PM01,Cerrada,27.2,36.2,2414.2,2029.7,2,1,0,Mecánico,Baja,
400813,2025-07,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,13.8,13.7,370.0,380.7,8,0,0,Eléctrico,Media,
400814,2025-07,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Correctivo,PM01,Cerrada,27.1,49.5,1733.5,1960.1,2,0,0,Eléctrico,Media,
400815,2025-07,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Correctivo,PM01,Cerrada,18.9,33.9,1759.4,2262.9,10,0,0,Servicios,Media,
400816,2025-07,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Correctivo,PM01,Cerrada,3.7,5.3,101.5,91.9,1,0,0,Mecánico,Media,
400817,2025-07,Servicios,N/A,EQ-0202,Caldera 2,B,Preventivo,PM02,Cerrada,22.4,21.2,518.8,458.6,7,0,0,Servicios,Baja,
400818,2025-07,Envasado,Línea 1,EQ-0461,Etiquetadora L1,A,Correctivo,PM01,Abierta,30.7,3.8,1796.2,334.1,,30,0,Mecánico,Media,Requiere parada de planta
400819,2025-07,Envasado,Línea 3,EQ-0470,Paletizador,B,Preventivo,PM02,Cerrada,5.3,5.9,210.9,236.0,3,9,22,Servicios,Baja,
400820,2025-07,Servicios,N/A,EQ-0202,Caldera 2,B,Preventivo,PM02,Cerrada,12.7,13.6,532.9,538.5,5,0,5,Eléctrico,Baja,
400821,2025-07,Envasado,Línea 2,EQ-0462,Etiquetadora L2,B,Preventivo,PM02,Cerrada,8.8,8.4,337.0,316.1,13,0,1,Mecánico,Baja,
